OSCTI Name,Tactic,Tactic,Tactic,Tactic,Technique,Technique,Technique,Technique,Sub-Technique,Sub-Technique,Sub-Technique,Sub-Technique,Detection Field Name,Detection Field Name,Detection Field Name,Detection Field Name,Log Source,Log Source,Log Source,Log Source,API Call,API Call,API Call,API Call,IoC,IoC,IoC,IoC,Other,Other,Other,Other
OSCTI Name,Support,Precision,Recall,F1-score,Support,Precision,Recall,F1-score,Support,Precision,Recall,F1-score,Support,Precision,Recall,F1-score,Support,Precision,Recall,F1-score,Support,Precision,Recall,F1-score,Support,Precision,Recall,F1-score,Support,Precision,Recall,F1-score
Anatomy of an Attack: Exposed keys to Crypto Mining,5,0.83,1,0.91,5,0.83,1,0.91,4,0.8,1,0.89,16,0.6,0.38,0.46,2,1,1,1,11,0.85,1,0.92,2,0.67,1,0.8,9,1,0.22,0.36
Behind the scenes in the Expel SOC: Alert-to-fix in AWS,4,0,0,0,4,0.5,0.75,0.6,2,0.33,0.5,0.4,8,1,0.88,0.93,2,1,1,1,7,0.58,1,0.74,3,1,1,1,2,1,0.5,0.67
Bling Libra’s Tactical Evolution: The Threat Actor Group Behind ShinyHunters Ransomware,2,1,1,1,8,0.64,0.88,0.74,3,0.6,1,0.75,8,0.86,0.75,0.8,2,1,1,1,20,0.74,1,0.85,5,1,0.6,0.75,2,0,0,0
CloudKeys in the Air: Tracking Malicious Operations of Exposed IAM Keys,3,0.5,0.33,0.4,8,0.71,0.62,0.67,2,0.67,1,0.8,7,1,0.86,0.92,2,1,1,1,21,1,0.95,0.98,2,1,1,1,9,1,0.56,0.71
Compromised Cloud Compute Credentials: Case Studies From the Wild (Case 1),1,0,0,0,5,0.27,0.6,0.37,1,0.2,1,0.33,6,1,0.83,0.91,2,1,1,1,51,0.82,1,0.9,1,1,1,1,2,0,0,0
Detecting AI resource-hijacking with Composite Alerts,3,0,0,0,5,0.44,0.8,0.57,1,0.25,1,0.4,6,1,1,1,2,1,1,1,13,0.5,1,0.67,46,0.92,1,0.96,0,1,1,1
Finding evil in AWS: A key pair to remember,4,0.67,0.5,0.57,4,0.2,0.25,0.22,0,0,0,0,6,0.75,1,0.86,2,1,1,1,11,0.85,1,0.92,2,0.5,0.5,0.5,0,0,0,0
"Incident report: From CLI to console, chasing an attacker in AWS",4,0.75,0.75,0.75,5,0.83,1,0.91,4,0.8,1,0.89,11,1,0.73,0.84,2,1,1,1,11,0.92,1,0.96,5,1,1,1,4,1,0.25,0.4
Incident report: stolen AWS access keys,1,1,1,1,3,1,1,1,1,1,1,1,5,1,1,1,2,1,1,1,7,1,1,1,3,0.75,1,0.86,0,1,1,1
LUCR-3: Scattered Spider Getting SaaS-y in the Cloud,2,0,0,0,6,0.67,1,0.8,8,1,1,1,6,1,0.83,0.91,2,1,1,1,20,0.74,1,0.85,3,1,0.67,0.8,1,0,0,0
Ransomware in the cloud,4,1,0.5,0.67,6,0.67,1,0.8,2,0.5,1,0.67,7,0.88,1,0.93,2,1,1,1,17,0.89,1,0.94,67,1,1,1,5,0.83,1,0.91
"SCARLETEEL: Operation leveraging Terraform, Kubernetes, and AWS for data theft",5,0.67,0.4,0.5,9,0.78,0.78,0.78,6,1,0.83,0.91,6,1,0.83,0.91,2,1,1,1,26,1,0.96,0.98,4,1,1,1,1,0,0,0
Tales from the cloud trenches: Amazon ECS is the new EC2 for crypto mining,1,0.33,1,0.5,11,0.85,1,0.92,6,1,1,1,10,0.5,1,0.67,2,1,1,1,23,0.66,1,0.79,0,1,1,1,4,0.31,1,0.47
"Tales from the cloud trenches: Raiding for AWS vaults, buckets and secrets",0,0,0,0,3,0.75,1,0.86,1,1,1,1,6,0.86,1,0.92,2,1,1,1,9,0.64,1,0.78,10,1,1,1,0,0,0,0
Tales from the cloud trenches: Using AWS CloudTrail to identify malicious activity and spot phishing campaign,2,1,0.5,0.67,4,0.67,0.5,0.57,2,0,0,0,6,1,0.83,0.91,2,1,1,1,6,1,1,1,2,1,1,1,1,0,0,0
The curious case of DangerDev@protonmail.me,5,0.5,0.2,0.29,12,0.65,0.92,0.76,4,0.33,1,0.5,10,0.44,0.8,0.57,2,1,1,1,27,0.35,1,0.51,8,1,1,1,11,0.4,0.73,0.52
Two real-life examples of why limiting permissions works: Lessons from AWS CIRT (Case 1),4,0,0,0,4,0.17,0.25,0.2,0,0,0,0,6,0.83,0.83,0.83,2,1,1,1,9,0.64,1,0.78,0,1,1,1,2,1,0.5,0.67
Two real-life examples of why limiting permissions works: Lessons from AWS CIRT (Case 2),3,0,0,0,4,0.5,0.75,0.6,0,0,0,0,6,0.83,0.83,0.83,2,1,1,1,5,0.56,1,0.71,0,1,1,1,3,1,0.67,0.8
Unmasking GUI-Vil: Financially Motivated Cloud Threat Actor,3,0.67,0.67,0.67,6,0.5,0.67,0.57,5,0.43,0.6,0.5,11,0.92,1,0.96,2,1,1,1,13,0.81,1,0.9,10,1,1,1,3,0.75,1,0.86
When a Zero Day and Access Keys Collide in the Cloud: Responding to the SugarCRM Zero-Day Vulnerability,3,0,0,0,6,0.5,0.83,0.62,2,0.25,1,0.4,12,0.86,1,0.92,2,1,1,1,20,0.86,0.95,0.9,13,1,0.77,0.87,4,0.8,1,0.89
