# train_severity_l2r_rank 2026-03-28T05:49:07.246073
# model=xgboost test_mode=train_thresholds csv=severity/logging_monitoring_anomalies.csv
# config=/home/work/lab_project/severity/experiment_config.yaml

[로그 파일] /home/work/lab_project/severity/experiment_logs/all_20260328_054638/logs/l2r_xgboost_train_thresholds.log
[0]	validation_0-ndcg@32:0.50659
[1]	validation_0-ndcg@32:0.50297
[2]	validation_0-ndcg@32:0.50397
[3]	validation_0-ndcg@32:0.50736
[4]	validation_0-ndcg@32:0.50563
[5]	validation_0-ndcg@32:0.50481
[6]	validation_0-ndcg@32:0.50824
[7]	validation_0-ndcg@32:0.50507
[8]	validation_0-ndcg@32:0.50789
[9]	validation_0-ndcg@32:0.50831
[10]	validation_0-ndcg@32:0.50830
[11]	validation_0-ndcg@32:0.50767
[12]	validation_0-ndcg@32:0.50770
[13]	validation_0-ndcg@32:0.50744
[14]	validation_0-ndcg@32:0.50719
[15]	validation_0-ndcg@32:0.50834
[16]	validation_0-ndcg@32:0.50763
[17]	validation_0-ndcg@32:0.50761
[18]	validation_0-ndcg@32:0.50564
[19]	validation_0-ndcg@32:0.50588
[20]	validation_0-ndcg@32:0.50614
[21]	validation_0-ndcg@32:0.50704
[22]	validation_0-ndcg@32:0.50576
[23]	validation_0-ndcg@32:0.50494
[24]	validation_0-ndcg@32:0.50536
[25]	validation_0-ndcg@32:0.50598
[26]	validation_0-ndcg@32:0.50320
[27]	validation_0-ndcg@32:0.50480
[28]	validation_0-ndcg@32:0.50410
[29]	validation_0-ndcg@32:0.50465
[30]	validation_0-ndcg@32:0.50507
[31]	validation_0-ndcg@32:0.50377
[32]	validation_0-ndcg@32:0.50418
[33]	validation_0-ndcg@32:0.50383
[34]	validation_0-ndcg@32:0.50350
[35]	validation_0-ndcg@32:0.50373
[36]	validation_0-ndcg@32:0.50395
[37]	validation_0-ndcg@32:0.50395
[38]	validation_0-ndcg@32:0.50398
[39]	validation_0-ndcg@32:0.50344
[40]	validation_0-ndcg@32:0.50446
[41]	validation_0-ndcg@32:0.50372
[42]	validation_0-ndcg@32:0.50339
[43]	validation_0-ndcg@32:0.50397
[44]	validation_0-ndcg@32:0.50373
[45]	validation_0-ndcg@32:0.50440
[46]	validation_0-ndcg@32:0.50408
[47]	validation_0-ndcg@32:0.50335
[48]	validation_0-ndcg@32:0.50339
[49]	validation_0-ndcg@32:0.50392
[50]	validation_0-ndcg@32:0.50244
[51]	validation_0-ndcg@32:0.50199
[52]	validation_0-ndcg@32:0.50239
[53]	validation_0-ndcg@32:0.50206
[54]	validation_0-ndcg@32:0.50159
[55]	validation_0-ndcg@32:0.50094
[56]	validation_0-ndcg@32:0.49973
[57]	validation_0-ndcg@32:0.49966
[58]	validation_0-ndcg@32:0.49970
