# train_severity_l2r_rank 2026-03-29T09:23:50.258702
# model=xgboost test_mode=train_thresholds csv=severity/logging_monitoring_anomalies.csv
# config=/home/work/lab_project/severity/experiment_config.yaml

[로그 파일] /home/work/lab_project/severity/experiment_logs/all_20260329_092153/logs/l2r_xgboost_train_thresholds.log
[[ 0.      0.     -0.8351 -1.7189  1.4577  0.122   1.0859  0.5791 -1.2547  1.2696 -1.309   1.1615  1.3574  0.7751 -1.7115 -0.1346 -0.9621 -1.3686  1.0604  0.8664  0.7023  0.882   1.3367 -0.8785
   0.4453  0.4473  0.635   0.7097 -1.3365 -0.7106]
 [ 1.      0.      0.1243 -0.3186 -1.2696 -1.2888  0.3412  0.4589  1.4455 -0.1913  0.2913 -1.2219  1.3574  0.6019  1.7109 -1.085  -1.6556  1.5471 -0.5     0.8664 -1.4193 -0.881  -0.4545  1.4664
  -0.45    0.4473 -0.2115  0.0033  1.3381 -1.4171]
 [ 2.      0.      0.9625  0.3535 -1.2696  0.12    0.1687  1.4359 -1.1057 -0.4565  1.3232 -0.0269 -0.5194  0.6019 -0.9671 -0.9529  0.4249 -0.0661  0.493   0.518  -0.7121 -0.2933 -1.3501 -1.4647
   1.3406 -1.3473  0.1516  0.7097 -0.445   1.409 ]
 [ 1.      0.     -1.6167 -1.2117 -0.1787 -0.6923 -1.2574 -0.5276 -0.8082  0.3122  0.5782  1.5341 -0.6584  1.1216 -1.1053  0.515  -0.442  -0.3785  0.7767 -1.5721  0.7023 -1.4687  1.3367 -0.8785
   0.4453 -1.3473  1.5224  0.7097 -1.3365  1.409 ]]
[0]	validation_0-ndcg@32:0.51451
[1]	validation_0-ndcg@32:0.51503
[2]	validation_0-ndcg@32:0.51312
[3]	validation_0-ndcg@32:0.51297
[4]	validation_0-ndcg@32:0.51276
[5]	validation_0-ndcg@32:0.50993
[6]	validation_0-ndcg@32:0.50969
[7]	validation_0-ndcg@32:0.50811
[8]	validation_0-ndcg@32:0.50974
[9]	validation_0-ndcg@32:0.50998
[10]	validation_0-ndcg@32:0.51201
[11]	validation_0-ndcg@32:0.51336
[12]	validation_0-ndcg@32:0.51133
[13]	validation_0-ndcg@32:0.51107
[14]	validation_0-ndcg@32:0.51140
[15]	validation_0-ndcg@32:0.51047
[16]	validation_0-ndcg@32:0.50915
[17]	validation_0-ndcg@32:0.51254
[18]	validation_0-ndcg@32:0.51255
[19]	validation_0-ndcg@32:0.51182
[20]	validation_0-ndcg@32:0.51087
[21]	validation_0-ndcg@32:0.51238
[22]	validation_0-ndcg@32:0.51119
[23]	validation_0-ndcg@32:0.51152
[24]	validation_0-ndcg@32:0.51267
[25]	validation_0-ndcg@32:0.51171
[26]	validation_0-ndcg@32:0.51206
[27]	validation_0-ndcg@32:0.51244
[28]	validation_0-ndcg@32:0.51018
[29]	validation_0-ndcg@32:0.51116
[30]	validation_0-ndcg@32:0.51064
[31]	validation_0-ndcg@32:0.51196
[32]	validation_0-ndcg@32:0.51343
[33]	validation_0-ndcg@32:0.51330
[34]	validation_0-ndcg@32:0.51372
[35]	validation_0-ndcg@32:0.51347
[36]	validation_0-ndcg@32:0.51269
[37]	validation_0-ndcg@32:0.51494
[38]	validation_0-ndcg@32:0.51529
[39]	validation_0-ndcg@32:0.51532
