# feature importance + SHAP (트리/부스팅 위주)
# time: 2026-03-29T13:33:37.073863
# model: xgboost  test_mode: train_score_relevance_0_3
#
# [1] feature_importances_: 모델 내장 분할 기여(상대 비교용).
# [2] SHAP: TreeExplainer, 참조 표본에서 피처 j의 평균 |SHAP| (방향 무시, 크기만 순위용).
#     다중 클래스면 클래스별 SHAP 절댓값 평균을 다시 평균.
#
# --- 전처리 후 피처 목록 (모델 입력 차원 순서) ---
idx	feature
0	num__Response_Time_ms
1	num__Resolution_Time_min
2	num__Affected_Services
3	num__Process_ID
4	num__Error_Code
5	num__CPU_Usage_Percent
6	num__Memory_Usage_MB
7	num__Disk_Usage_Percent
8	num__Network_In_KB
9	num__Network_Out_KB
10	num__Login_Attempts
11	num__Failed_Transactions
12	num__Anomaly_Duration_sec
13	num__User_ID
14	num__Patch_Level
15	num__Transaction_ID
16	num__Alert_Count
17	num__Retry_Count
18	num__Escalation_Level
19	cat__Anomaly_Type
20	cat__Status
21	cat__Source
22	cat__Alert_Method
23	cat__User_Role
24	cat__Host_IP
25	cat__TimeZone
26	cat__Location
27	cat__Service_Type
#
# --- 내장 importance 상위 25 (합=1 정규화) ---
rank	importance_norm	importance_raw	feature
1	0.045749	0.045749	num__Alert_Count
2	0.043375	0.043375	num__Anomaly_Duration_sec
3	0.042286	0.042286	num__Response_Time_ms
4	0.041223	0.041223	num__Network_In_KB
5	0.041041	0.041041	num__Network_Out_KB
6	0.037416	0.037416	num__CPU_Usage_Percent
7	0.037113	0.037113	cat__Host_IP
8	0.036814	0.036814	num__Error_Code
9	0.036671	0.036671	num__Patch_Level
10	0.036556	0.036556	num__Login_Attempts
11	0.036014	0.036014	num__Disk_Usage_Percent
12	0.035658	0.035658	num__Process_ID
13	0.035431	0.035431	cat__TimeZone
14	0.035376	0.035376	num__Transaction_ID
15	0.034861	0.034861	num__User_ID
16	0.034629	0.034629	num__Resolution_Time_min
17	0.034562	0.034562	cat__Anomaly_Type
18	0.034406	0.034406	num__Memory_Usage_MB
19	0.034304	0.034304	num__Affected_Services
20	0.033276	0.033276	cat__User_Role
21	0.032479	0.032479	num__Failed_Transactions
22	0.032180	0.032180	cat__Service_Type
23	0.032025	0.032025	cat__Location
24	0.031824	0.031824	cat__Status
25	0.031749	0.031749	num__Retry_Count
#
# --- SHAP mean|value| 상위 25 (표본 2000행, 합=1 정규화) ---
rank	shap_norm	shap_mean_abs	feature
1	0.112833	0.050645	num__Network_Out_KB
2	0.099515	0.044668	num__Alert_Count
3	0.080405	0.036090	num__Anomaly_Duration_sec
4	0.072220	0.032416	num__Response_Time_ms
5	0.066819	0.029992	num__User_ID
6	0.058652	0.026326	num__Network_In_KB
7	0.054341	0.024391	num__Error_Code
8	0.048320	0.021689	num__Process_ID
9	0.045937	0.020619	num__Login_Attempts
10	0.040844	0.018333	num__Failed_Transactions
11	0.036216	0.016256	num__Transaction_ID
12	0.036110	0.016208	cat__Status
13	0.035045	0.015730	cat__Host_IP
14	0.027243	0.012228	num__CPU_Usage_Percent
15	0.024080	0.010808	num__Resolution_Time_min
16	0.021553	0.009674	num__Affected_Services
17	0.021328	0.009573	num__Memory_Usage_MB
18	0.021285	0.009554	num__Disk_Usage_Percent
19	0.018030	0.008093	cat__Source
20	0.014445	0.006484	num__Patch_Level
21	0.013795	0.006192	cat__Location
22	0.010359	0.004649	cat__Service_Type
23	0.008121	0.003645	cat__Alert_Method
24	0.008105	0.003638	cat__TimeZone
25	0.007471	0.003354	cat__User_Role
